TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Academic Block I LAB-4 (46),"AL2002-AI Lab BCS-4D
Atif",,,"CL2005-DBS Lab BCS-4K
Ramsha Iqbal",,,"AL2002-AI Lab BCS-6H
Qasim Keeryo",,
Academic Block III LAB-5 (52),"CL2006-OS Lab BCS-4A
Fatima Gado",,,"CL1004-OOP Lab BCY-2A
Amna Aslam",,,"CL1004-OOP Lab BSE-2A
Kinza Mushtaq",,
Academic Block II DS LAB-6 (52),"DAB-II Lab BSFT-4A
 Nighat  Jahan",,,"AL2002-AI Lab BCS-6E
Ghulam Murtaza",,,"CL1004-OOP Lab BAI-2B
Muhammad Khalid",,
Academic Block II LAB-7 (45),"EL1005-DLD Lab BCS-2E
Sheeraz Iqbal",,,"EL1005-DLD Lab BSE-2B
Muhammad Nadeem",,,"CL2005-DBS Lab BCS-4G
Saira Ayub",,
Academic Block II CY LAB-8 (49),PF BSCE-2B                                                Dr. Shahbaz Siddiqui,PF BSCE-2A                                              Dr. Shahbaz Siddiqui,,SS Lab BSEE-4C                                                                                                                                                                                      Engr. Zakir Hussain,,,SS Lab BSEE-4A                                                                                                                                                                                      Dr. Haider Mehdi,,
Academic Block II AI/ML LAB-9 (47),FDB Lab BSEE-8A                                                                                                                                                                                      Dr. Ahsan Nadeem,,,,,,"CS2001 DS Lab BCS-4A
Izzah Salam",,
Academic Block II LAB-10 (44),,,,,,,"YL3005-NS BCY-6B
Ali Naseer Shah",,
Academic Block II LAB-11 (46),,,,,,,"CL2006-OS Lab BDS-4A
Shafique Rehman",,
Academic Block II Lab-12 (47),,,,,,," MBR-Lab  BSBA-6A
Nighat Jahan",,
Academic Block II Lab-13 (47),,,,,,,,,
Academic Block II Lab-14 (43),,,,,,,,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,"EL1005-DLD Lab BDS-2A
Ishtiaq Ahmed",,,"EL1005-DLD Lab BCY-2B
Saqib Shah",,,,,
Academic Block II Electronics Lab,,,,,,,,,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,EMS Lab BSEE-4A                                                                                                                                                                                                    Engr. Aqib Noor,,,,,,EMS Lab BSEE-4B                                                                                                                                                                                                    Engr. Aqib Noor,,
Academic Block II Power Lab,,,,,,,FCS Lab BSEE-6A                                                                                                                                                                                      Engr. Zohaib,,
Academic Block II Physics Lab,,,,,,,,,
